Episode 160, Reward: 19.0, Avg Critic Loss: 0.1184, Avg Actor Loss: -8.2655, Avg Alpha Loss: -0.7715Updates: 1086
Episode 161, Reward: 13.0, Avg Critic Loss: 0.1204, Avg Actor Loss: -8.3679, Avg Alpha Loss: -0.7780Updates: 1099
Episode 162, Reward: 24.0, Avg Critic Loss: 0.1203, Avg Actor Loss: -8.4651, Avg Alpha Loss: -0.7810Updates: 1123
Episode 163, Reward: 14.0, Avg Critic Loss: 0.0919, Avg Actor Loss: -8.5667, Avg Alpha Loss: -0.7848Updates: 1137
Episode 164, Reward: 27.0, Avg Critic Loss: 0.1378, Avg Actor Loss: -8.6206, Avg Alpha Loss: -0.7878Updates: 1164
Episode 165, Reward: 15.0, Avg Critic Loss: 0.1040, Avg Actor Loss: -8.6953, Avg Alpha Loss: -0.7883Updates: 1179
Episode 166, Reward: 13.0, Avg Critic Loss: 0.2111, Avg Actor Loss: -8.7364, Avg Alpha Loss: -0.7934Updates: 1192
Episode 167, Reward: 16.0, Avg Critic Loss: 0.0994, Avg Actor Loss: -8.8026, Avg Alpha Loss: -0.7904Updates: 1208
Episode 168, Reward: 11.0, Avg Critic Loss: 0.1052, Avg Actor Loss: -8.8791, Avg Alpha Loss: -0.7951Updates: 1219
Episode 169, Reward: 11.0, Avg Critic Loss: 0.1346, Avg Actor Loss: -8.9426, Avg Alpha Loss: -0.7974Updates: 1230
Episode 170, Reward: 8.0, Avg Critic Loss: 0.1328, Avg Actor Loss: -8.9347, Avg Alpha Loss: -0.7960Updates: 1238
Episode 171, Reward: 10.0, Avg Critic Loss: 0.1668, Avg Actor Loss: -9.0405, Avg Alpha Loss: -0.8094Updates: 1248
Episode 172, Reward: 21.0, Avg Critic Loss: 0.1769, Avg Actor Loss: -9.0615, Avg Alpha Loss: -0.8044Updates: 1269
Episode 173, Reward: 11.0, Avg Critic Loss: 0.1463, Avg Actor Loss: -9.1743, Avg Alpha Loss: -0.8093Updates: 1280
Episode 174, Reward: 9.0, Avg Critic Loss: 0.1369, Avg Actor Loss: -9.2107, Avg Alpha Loss: -0.8110Updates: 1289
Episode 175, Reward: 8.0, Avg Critic Loss: 0.1850, Avg Actor Loss: -9.2571, Avg Alpha Loss: -0.8137Updates: 1297
Episode 176, Reward: 12.0, Avg Critic Loss: 0.1432, Avg Actor Loss: -9.2856, Avg Alpha Loss: -0.8133Updates: 1309
Episode 177, Reward: 29.0, Avg Critic Loss: 0.1625, Avg Actor Loss: -9.3537, Avg Alpha Loss: -0.8156Updates: 1338
Episode 178, Reward: 10.0, Avg Critic Loss: 0.1242, Avg Actor Loss: -9.4500, Avg Alpha Loss: -0.8212Updates: 1348
Episode 179, Reward: 21.0, Avg Critic Loss: 0.1758, Avg Actor Loss: -9.4657, Avg Alpha Loss: -0.8224Updates: 1369
Episode 180, Reward: 20.0, Avg Critic Loss: 0.1831, Avg Actor Loss: -9.5911, Avg Alpha Loss: -0.8252Updates: 1389
Episode 181, Reward: 36.0, Avg Critic Loss: 0.1425, Avg Actor Loss: -9.6860, Avg Alpha Loss: -0.8261Updates: 1425
Episode 182, Reward: 12.0, Avg Critic Loss: 0.1036, Avg Actor Loss: -9.8217, Avg Alpha Loss: -0.8379Updates: 1437
Episode 183, Reward: 12.0, Avg Critic Loss: 0.1961, Avg Actor Loss: -9.7574, Avg Alpha Loss: -0.8318Updates: 1449
Episode 184, Reward: 20.0, Avg Critic Loss: 0.1601, Avg Actor Loss: -9.8800, Avg Alpha Loss: -0.8347Updates: 1469
Episode 185, Reward: 18.0, Avg Critic Loss: 0.1004, Avg Actor Loss: -9.9349, Avg Alpha Loss: -0.8407Updates: 1487
Episode 186, Reward: 9.0, Avg Critic Loss: 0.2364, Avg Actor Loss: -9.9586, Avg Alpha Loss: -0.8405Updates: 1496
Episode 187, Reward: 8.0, Avg Critic Loss: 0.2268, Avg Actor Loss: -10.0382, Avg Alpha Loss: -0.8494Updates: 1504
